gid,CID,Category,Category_Description,Categorization_Type,cmpdname
,4,Arts and crafts/office supplies -> general arts and crafts supplies -> arts and crafts cleaner,"Solvent- or detergent-based products for removing craft related paints, adhesives, etc. from hands or surfaces",Product Use Category (PUC),1-Aminopropan-2-ol
,4,buffering,,Reported Functional Use,1-Aminopropan-2-ol
,4,builder,,Reported Functional Use,1-Aminopropan-2-ol
,4,chelating agent,,OECD Functional Use,1-Aminopropan-2-ol
,4,cleaning agent,,Reported Functional Use,1-Aminopropan-2-ol
,4,cleaning agent,,OECD Functional Use,1-Aminopropan-2-ol
,4,Cleaning products and household care -> general household cleaning,"Cleaning products for general household cleaning, which do not fit into a more refined category",Product Use Category (PUC),1-Aminopropan-2-ol
,4,Cleaning products and household care -> general household cleaning -> glass cleaner,"Products used to clean glass, mirrors, and windows",Product Use Category (PUC),1-Aminopropan-2-ol
,4,Cleaning products and household care -> oven -> oven cleaner,"Products used to clean grills, ovens, or range cooktops",Product Use Category (PUC),1-Aminopropan-2-ol
,4,Personal care -> hair styling and care -> shampoo,"Shampoos, including dual shampoo/conditioner products",Product Use Category (PUC),1-Aminopropan-2-ol
,4,Personal care -> nails -> nail polish,"Clear or colored nail enamels, polishes, basecoats, topcoats, and other acrylic coatings",Product Use Category (PUC),1-Aminopropan-2-ol
,4,ph adjuster,,Reported Functional Use,1-Aminopropan-2-ol
,4,pH regulating agent,,OECD Functional Use,1-Aminopropan-2-ol
,4,ph regulating agent,,Reported Functional Use,1-Aminopropan-2-ol
,4,solvent,,Reported Functional Use,1-Aminopropan-2-ol
,4,solvent,,OECD Functional Use,1-Aminopropan-2-ol
